,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
327,Braintree,60,4198,-71.00420129999999,42.21573920000001,22.2,22.2,0.24103,0.0,7.38,0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
321,Braintree,60,4192,-70.99670129999998,42.218439200000006,23.1,23.1,0.18159,0.0,7.38,0,0.493,6.376,54.3,4.5404,5,287,19.6,396.9,6.87
320,Braintree,60,4191,-70.99010129999999,42.21923920000001,23.8,23.8,0.1676,0.0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,396.9,7.2
323,Braintree,60,4194,-70.9962013,42.20823920000001,18.5,18.5,0.28392,0.0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
324,Braintree,60,4195,-71.00670129999999,42.18833920000001,25.0,25.0,0.34109,0.0,7.38,0,0.493,6.415,40.1,4.7211,5,287,19.6,396.9,6.12
322,Braintree,60,4193,-71.00620129999999,42.19923920000001,20.4,20.4,0.35114,0.0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7
325,Braintree,60,4196,-71.0167013,42.203239200000006,24.6,24.6,0.19186,0.0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
259,Brookline,45,4003,-71.11193016666665,42.33689753333332,30.1,30.1,0.65665,20.0,3.97,0,0.647,6.842,100.0,2.0107,5,264,13.0,391.93,6.9
268,Brookline,45,4012,-71.11673016666666,42.33729753333333,43.5,43.5,0.5405,20.0,3.97,0,0.575,7.47,52.6,2.872,5,264,13.0,390.3,3.16
267,Brookline,45,4011,-71.12053016666665,42.33709753333333,50.0,50.0,0.57834,20.0,3.97,0,0.575,8.297,67.0,2.4216,5,264,13.0,384.54,7.44
266,Brookline,45,4010,-71.12403016666666,42.333597533333325,30.7,30.7,0.7857,20.0,3.97,0,0.647,7.014,84.6,2.1329,5,264,13.0,384.07,14.79
264,Brookline,45,4008,-71.12303016666665,42.33159753333332,36.5,36.5,0.55007,20.0,3.97,0,0.647,7.206,91.6,1.9301,5,264,13.0,387.89,8.1
263,Brookline,45,4007,-71.12753016666666,42.32959753333333,31.0,31.0,0.82526,20.0,3.97,0,0.647,7.327,94.5,2.0788,5,264,13.0,393.42,11.25
262,Brookline,45,4006,-71.11903016666666,42.327597533333325,48.8,48.8,0.52014,20.0,3.97,0,0.647,8.398,91.5,2.2885,5,264,13.0,386.86,5.91
261,Brookline,45,4005,-71.11503016666666,42.33259753333333,43.1,43.1,0.53412,20.0,3.97,0,0.647,7.52,89.4,2.1398,5,264,13.0,388.37,7.26
260,Brookline,45,4004,-71.11403016666665,42.32959753333333,33.8,33.8,0.54011,20.0,3.97,0,0.647,7.203,81.8,2.1121,5,264,13.0,392.8,9.59
258,Brookline,45,4002,-71.11653016666666,42.326097533333325,36.0,36.0,0.66351,20.0,3.97,0,0.647,7.333,100.0,1.8946,5,264,13.0,383.29,7.79
257,Brookline,45,4001,-71.12903016666665,42.32209753333333,50.0,50.0,0.61154,20.0,3.97,0,0.647,8.704,86.9,1.801,5,264,13.0,389.7,5.12
265,Brookline,45,4009,-71.13653016666666,42.33709753333333,22.8,22.8,0.76162,20.0,3.97,0,0.647,5.56,62.8,1.9865,5,264,13.0,392.4,10.45
73,Burlington,17,3324,-73.21219699999999,44.488432499999995,23.4,23.4,0.19539,0.0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,377.17,7.54
72,Burlington,17,3323,-73.20069699999999,44.473232499999995,22.8,22.8,0.09164,0.0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52
71,Burlington,17,3322,-73.22119699999999,44.47743249999999,21.7,21.7,0.15876,0.0,10.81,0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
70,Burlington,17,3321,-73.214197,44.464432499999994,24.2,24.2,0.08826,0.0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,383.73,6.72
142,Cambridge,28,3521,-71.08990683333332,42.37107913333333,13.4,13.4,3.32105,0.0,19.58,1,0.871,5.403,100.0,1.3216,5,403,14.7,396.9,26.82
164,Cambridge,28,3543,-71.09380683333332,42.37187913333333,22.7,22.7,2.24236,0.0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,395.11,11.64
166,Cambridge,28,3545,-71.09290683333332,42.36937913333333,50.0,50.0,2.01019,0.0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7
165,Cambridge,28,3544,-71.09590683333332,42.36787913333333,25.0,25.0,2.924,0.0,19.58,0,0.605,6.101,93.0,2.2834,5,403,14.7,240.16,9.81
169,Cambridge,28,3548,-71.10090683333331,42.36987913333333,22.3,22.3,2.44953,0.0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32
167,Cambridge,28,3546,-71.09740683333331,42.37107913333333,23.8,23.8,1.80028,0.0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,227.61,12.14
168,Cambridge,28,3547,-71.09860683333332,42.37287913333333,23.8,23.8,2.3004,0.0,19.58,0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
160,Cambridge,28,3539,-71.09990683333332,42.37187913333333,27.0,27.0,1.27346,0.0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5
161,Cambridge,28,3540,-71.10390683333331,42.37247913333333,50.0,50.0,1.46336,0.0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,374.43,1.73
148,Cambridge,28,3527,-71.10410683333332,42.36937913333333,17.8,17.8,2.33099,0.0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,356.99,28.32
163,Cambridge,28,3542,-71.10090683333331,42.36587913333333,50.0,50.0,1.51902,0.0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,388.45,3.32
159,Cambridge,28,3538,-71.10640683333331,42.363879133333334,23.3,23.3,1.42502,0.0,19.58,0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39
149,Cambridge,28,3528,-71.10810683333331,42.36507913333333,15.4,15.4,2.73397,0.0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45
171,Cambridge,28,3550,-71.10990683333331,42.363879133333334,19.1,19.1,2.3139,0.0,19.58,0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03
143,Cambridge,28,3522,-71.10860683333331,42.36887913333333,15.6,15.6,4.0974,0.0,19.58,0,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42
158,Cambridge,28,3537,-71.11090683333332,42.37737913333333,24.3,24.3,1.34284,0.0,19.58,0,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43
145,Cambridge,28,3524,-71.10890683333331,42.37337913333333,13.8,13.8,2.37934,0.0,19.58,0,0.871,6.13,100.0,1.4191,5,403,14.7,172.91,27.8
162,Cambridge,28,3541,-71.10690683333331,42.37117913333333,50.0,50.0,1.83377,0.0,19.58,1,0.605,7.802,98.2,2.0407,5,403,14.7,389.61,1.92
170,Cambridge,28,3549,-71.11190683333331,42.370279133333334,17.4,17.4,1.20742,0.0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,292.29,14.43
157,Cambridge,28,3536,-71.11540683333331,42.37707913333333,41.3,41.3,1.22358,0.0,19.58,0,0.605,6.943,97.4,1.8773,5,403,14.7,363.43,4.59
156,Cambridge,28,3535,-71.11890683333331,42.37387913333333,13.1,13.1,2.44668,0.0,19.58,0,0.871,5.272,94.0,1.7364,5,403,14.7,88.63,16.14
155,Cambridge,28,3534,-71.12340683333332,42.37387913333333,15.6,15.6,3.53501,0.0,19.58,1,0.871,6.152,82.6,1.7455,5,403,14.7,88.01,15.02
154,Cambridge,28,3533,-71.13370683333332,42.37537913333333,17.0,17.0,1.41385,0.0,19.58,1,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12
144,Cambridge,28,3523,-71.12390683333331,42.37837913333333,11.8,11.8,2.77974,0.0,19.58,0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29
152,Cambridge,28,3531,-71.11890683333331,42.37937913333333,15.3,15.3,1.12658,0.0,19.58,1,0.871,5.012,88.0,1.6102,5,403,14.7,343.28,12.12
151,Cambridge,28,3530,-71.12850683333332,42.38337913333333,19.6,19.6,1.49632,0.0,19.58,0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28
150,Cambridge,28,3529,-71.11590683333331,42.38197913333333,21.5,21.5,1.6566,0.0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,372.8,14.1
147,Cambridge,28,3526,-71.11940683333331,42.383979133333334,14.6,14.6,2.36862,0.0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,391.71,29.53
146,Cambridge,28,3525,-71.12290683333332,42.38567913333333,15.6,15.6,2.15505,0.0,19.58,0,0.871,5.628,100.0,1.5166,5,403,14.7,169.27,16.65
153,Cambridge,28,3532,-71.12110683333331,42.38787913333333,19.4,19.4,2.14918,0.0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,261.95,15.79
302,Canton,57,4152,-81.38711366666666,40.788280633333315,26.4,26.4,0.09266,34.0,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,383.61,8.67
303,Canton,57,4153,-81.36211366666666,40.79528063333331,33.1,33.1,0.1,34.0,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,390.43,4.86
301,Canton,57,4151,-81.38611366666666,40.813280633333314,22.0,22.0,0.03537,34.0,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,395.75,9.5
489,Chelsea,89,1602,-71.0293484,42.3886438,7.0,7.0,0.18337,0.0,27.74,0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97
492,Chelsea,89,1606,-71.0332484,42.387743799999996,20.1,20.1,0.11132,0.0,27.74,0,0.609,5.983,83.5,2.1099,4,711,20.1,396.9,13.35
488,Chelsea,89,1601,-71.0349484,42.3910438,15.2,15.2,0.15086,0.0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06
490,Chelsea,89,1604,-71.0264484,42.392443799999995,8.1,8.1,0.20746,0.0,27.74,0,0.609,5.093,98.0,1.8226,4,711,20.1,318.43,29.68
491,Chelsea,89,1605,-71.0401484,42.3989438,13.6,13.6,0.10574,0.0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07
341,Cohasset,64,4231,-70.8036544,42.24176749999999,32.7,32.7,0.01301,35.0,1.52,0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
196,Concord,34,3611,-71.34161506666668,42.45420523333333,33.3,33.3,0.04011,80.0,1.52,0,0.404,7.287,34.1,7.309,2,329,12.6,396.9,4.08
197,Concord,34,3612,-71.36161506666667,42.45520523333333,30.3,30.3,0.04666,80.0,1.52,0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
198,Concord,34,3613,-71.34361506666667,42.47170523333333,34.6,34.6,0.03768,80.0,1.52,0,0.404,7.274,38.3,7.309,2,329,12.6,392.2,6.62
53,Danvers,8,2114,-70.920622,42.5688259,23.4,23.4,0.04981,21.0,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,396.9,8.43
51,Danvers,8,2112,-70.932622,42.5730259,20.5,20.5,0.04337,21.0,5.64,0,0.439,6.115,63.0,6.8147,4,243,16.8,393.97,9.43
52,Danvers,8,2113,-70.927622,42.580825899999994,25.0,25.0,0.0536,21.0,5.64,0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
50,Danvers,8,2111,-70.947622,42.5773259,19.7,19.7,0.08873,21.0,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,395.56,13.45
269,Dedham,46,4021,-71.16681359999998,42.2524085,20.7,20.7,0.09065,20.0,6.96,1,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
270,Dedham,46,4022,-71.15581359999999,42.239408499999996,21.1,21.1,0.29916,20.0,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13.0
272,Dedham,46,4024,-71.16281359999998,42.2339085,24.4,24.4,0.1146,20.0,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
273,Dedham,46,4025,-71.16701359999999,42.2429085,35.2,35.2,0.22188,20.0,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
271,Dedham,46,4023,-71.18581359999999,42.2494085,25.2,25.2,0.16211,20.0,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,396.9,6.59
283,Dover,49,4051,-75.5243682,39.158168,50.0,50.0,0.01501,90.0,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
353,Duxbury,72,5071,-70.6722767,42.0417525,30.1,30.1,0.01709,90.0,2.02,0,0.41,6.728,36.1,12.1265,5,187,17.0,384.46,4.5
125,Everett,26,3426,-122.19487949999998,47.98201337142857,21.4,21.4,0.16902,0.0,25.65,0,0.581,5.986,88.4,1.9929,2,188,19.1,385.02,14.81
120,Everett,26,3421,-122.20177949999999,47.984213371428574,22.0,22.0,0.06899,0.0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37
126,Everett,26,3427,-122.20827949999999,47.98071337142857,15.7,15.7,0.38735,0.0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,359.29,27.26
121,Everett,26,3422,-122.2075795,47.97721337142857,20.3,20.3,0.07165,0.0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,377.67,14.27
122,Everett,26,3423,-122.20137949999999,47.97871337142857,20.5,20.5,0.09299,0.0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,378.09,17.93
123,Everett,26,3424,-122.19677949999999,47.97681337142857,17.3,17.3,0.15038,0.0,25.65,0,0.581,5.856,97.0,1.9444,2,188,19.1,370.31,25.41
124,Everett,26,3425,-122.20387949999999,47.97321337142857,18.8,18.8,0.09849,0.0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
245,Framingham,42,3832,-71.40533649999999,42.264416,18.5,18.5,0.19133,22.0,5.86,0,0.431,5.605,70.2,7.9549,7,330,19.1,389.13,18.46
252,Framingham,42,3839,-71.41933649999999,42.263216,29.6,29.6,0.08221,22.0,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
246,Framingham,42,3833,-71.4238365,42.270416,24.3,24.3,0.33983,22.0,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
253,Framingham,42,3840,-71.40883649999999,42.271716,42.8,42.8,0.36894,22.0,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
244,Framingham,42,3831,-71.41683649999999,42.278116,17.6,17.6,0.20608,22.0,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,372.49,12.5
249,Framingham,42,3836,-71.4093365,42.283916,26.2,26.2,0.19073,22.0,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,393.74,6.56
250,Framingham,42,3837,-71.39983649999999,42.292416,24.4,24.4,0.1403,22.0,5.86,0,0.431,6.487,13.0,7.3967,7,330,19.1,396.28,5.9
251,Framingham,42,3838,-71.40533649999999,42.299616,24.8,24.8,0.21409,22.0,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,377.07,3.59
248,Framingham,42,3835,-71.4303365,42.294916,24.5,24.5,0.16439,22.0,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,374.71,9.52
247,Framingham,42,3834,-71.44253649999999,42.274116,20.5,20.5,0.19657,22.0,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,376.14,10.15
56,Hamilton,11,2151,-75.50437610000002,42.80835099999999,24.7,24.7,0.02055,85.0,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,396.9,5.77
347,Hanover,68,5031,-72.2895526,43.7022451,23.1,23.1,0.0187,85.0,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36
343,Hingham,66,5011,-70.89200899999999,42.2540672,23.9,23.9,0.02543,55.0,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18
344,Hingham,66,5012,-70.887509,42.2295672,31.2,31.2,0.03049,55.0,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,387.97,4.61
331,Holbrook,62,4211,-110.16592680000001,34.9007482,17.1,17.1,0.05023,35.0,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,394.02,12.43
332,Holbrook,62,4212,-110.1504268,34.9037482,19.4,19.4,0.03466,35.0,6.06,0,0.4379,6.031,23.3,6.6407,1,304,16.9,362.25,7.83
342,Hull,65,5001,-70.9078346,42.3020647,16.5,16.5,0.02498,0.0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,389.96,8.65
191,Lexington,31,3586,-84.49039973333333,38.03015036666667,30.5,30.5,0.06911,45.0,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,389.71,4.69
190,Lexington,31,3585,-84.50919973333333,38.02865036666667,37.0,33.0,0.09068,45.0,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,377.68,5.1
192,Lexington,31,3587,-84.51339973333333,38.03875036666666,36.4,36.4,0.08664,45.0,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,390.49,2.87
188,Lexington,31,3583,-84.48999973333333,38.04365036666667,29.8,29.8,0.12579,45.0,3.44,0,0.437,6.556,29.1,4.5667,5,398,15.2,382.84,4.56
187,Lexington,31,3581,-84.51689973333333,38.050150366666664,32.0,32.0,0.07875,45.0,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,393.87,6.68
189,Lexington,31,3584,-84.50239973333333,38.052150366666666,34.9,34.9,0.0837,45.0,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,396.9,5.39
195,Lincoln,33,3602,-96.7025955,40.813616,50.0,50.0,0.01381,80.0,0.46,0,0.422,7.875,32.0,5.6484,4,255,14.4,394.23,2.97
27,Lynn,4,2065,-70.94148470909093,42.47668572727274,14.8,14.8,0.95577,0.0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21.0,306.38,17.28
33,Lynn,4,2071,-70.94898470909092,42.471685727272735,13.1,13.1,1.15172,0.0,8.14,0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,18.35
34,Lynn,4,2072,-70.95348470909093,42.47868572727273,13.5,13.5,1.61282,0.0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21.0,248.31,20.34
29,Lynn,4,2067,-70.96398470909092,42.48318572727273,21.0,21.0,1.00245,0.0,8.14,0,0.538,6.674,87.3,4.239,4,307,21.0,380.23,11.98
31,Lynn,4,2069,-70.95498470909092,42.46968572727273,14.5,14.5,1.35472,0.0,8.14,0,0.538,6.072,100.0,4.175,4,307,21.0,376.73,13.04
30,Lynn,4,2068,-70.96948470909093,42.467185727272735,12.7,12.7,1.13081,0.0,8.14,0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6
25,Lynn,4,2063,-70.96498470909093,42.462285727272736,13.9,13.9,0.84054,0.0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21.0,303.42,16.51
28,Lynn,4,2066,-70.96048470909093,42.46168572727274,18.4,18.4,0.77299,0.0,8.14,0,0.538,6.495,94.4,4.4547,4,307,21.0,387.94,12.8
18,Lynn,4,2056,-70.95898470909093,42.465685727272735,20.2,20.2,0.80271,0.0,8.14,0,0.538,5.456,36.6,3.7965,4,307,21.0,288.99,11.69
13,Lynn,4,2051,-70.95448470909093,42.46368572727274,20.4,20.4,0.62976,0.0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21.0,396.9,8.26
32,Lynn,4,2070,-70.94998470909093,42.46368572727274,13.2,13.2,1.38799,0.0,8.14,0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71
15,Lynn,4,2053,-70.94628470909093,42.466285727272734,19.9,19.9,0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21.0,395.62,8.47
14,Lynn,4,2052,-70.94098470909093,42.468685727272735,18.2,18.2,0.63796,0.0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21.0,380.02,10.26
20,Lynn,4,2058,-70.93668470909093,42.471685727272735,13.6,13.6,1.25179,0.0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21.0,376.57,21.02
22,Lynn,4,2060,-70.93668470909093,42.467185727272735,15.2,15.2,1.23247,0.0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21.0,396.9,18.72
21,Lynn,4,2059,-70.93398470909092,42.46468572727274,19.6,19.6,0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21.0,392.53,13.83
23,Lynn,4,2061,-70.92798470909092,42.462685727272735,14.5,14.5,0.98843,0.0,8.14,0,0.538,5.813,100.0,4.0952,4,307,21.0,394.54,19.88
19,Lynn,4,2057,-70.94398470909093,42.46368572727274,18.2,18.2,0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307,21.0,390.95,11.28
24,Lynn,4,2062,-70.94098470909093,42.461185727272735,15.6,15.6,0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21.0,394.33,16.3
17,Lynn,4,2055,-70.94898470909092,42.461185727272735,17.5,17.5,0.7842,0.0,8.14,0,0.538,5.99,81.7,4.2579,4,307,21.0,386.75,14.67
16,Lynn,4,2054,-70.95648470909093,42.46068572727274,23.1,23.1,1.05393,0.0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21.0,386.85,6.58
26,Lynn,4,2064,-70.95448470909093,42.456685727272735,16.6,16.6,0.67191,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307,21.0,376.88,14.81
40,Lynnfield,6,2092,-71.0380638,42.533190000000005,34.9,34.9,0.03359,75.0,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98
39,Lynnfield,6,2091,-71.0550638,42.54419,30.8,30.8,0.02763,75.0,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,395.63,4.32
111,Malden,25,3411,-71.07739633333333,42.42842973333334,22.8,22.8,0.10084,0.0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16
119,Malden,25,3419,-71.07889633333333,42.420429733333336,19.3,19.3,0.14476,0.0,10.01,0,0.547,5.731,65.2,2.7592,6,432,17.8,391.5,13.61
116,Malden,25,3416,-71.07269633333333,42.42542973333334,21.2,21.2,0.13158,0.0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,393.3,12.04
112,Malden,25,3412,-71.06949633333332,42.41862973333333,18.8,18.8,0.12329,0.0,10.01,0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21
118,Malden,25,3418,-71.06539633333333,42.421929733333336,20.4,20.4,0.13058,0.0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,338.63,15.37
114,Malden,25,3414,-71.06589633333333,42.42822973333334,18.5,18.5,0.14231,0.0,10.01,0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
115,Malden,25,3415,-71.05839633333332,42.429429733333336,18.3,18.3,0.17134,0.0,10.01,0,0.547,5.928,88.2,2.4631,6,432,17.8,344.91,15.76
117,Malden,25,3417,-71.05839633333332,42.42542973333334,19.2,19.2,0.15098,0.0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,394.51,10.3
113,Malden,25,3413,-71.04889633333333,42.427929733333336,18.7,18.7,0.22212,0.0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09
64,Manchester,14,2181,-71.4547891,42.9956397,33.0,33.0,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
3,Marblehead,2,2031,-70.86363573333333,42.49462486666665,33.4,33.4,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,394.63,2.94
4,Marblehead,2,2032,-70.85763573333332,42.49962486666665,36.2,36.2,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7,396.9,5.33
5,Marblehead,2,2033,-70.85213573333333,42.50562486666665,28.7,28.7,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
352,Marshfield,71,5062,-70.71558710000001,42.1009953,18.6,18.6,0.07244,60.0,1.69,0,0.411,5.884,18.5,10.7103,4,411,18.3,392.33,7.79
351,Marshfield,71,5061,-70.69558710000001,42.0824953,24.1,24.1,0.0795,60.0,1.69,0,0.411,6.579,35.9,10.7103,4,411,18.3,370.78,5.49
284,Medfield,50,4061,-71.30645969999999,42.18758260000001,32.2,32.2,0.00906,90.0,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
104,Medford,24,3395,-71.10662753636363,42.42337505454546,20.1,20.1,0.1396,0.0,8.56,0,0.52,6.167,90.0,2.421,5,384,20.9,392.69,12.33
103,Medford,24,3394,-71.12082753636363,42.41387505454546,19.3,19.3,0.21161,0.0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,394.47,13.44
110,Medford,24,3401,-71.12102753636363,42.42037505454546,21.7,21.7,0.10793,0.0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,393.49,13.0
109,Medford,24,3400,-71.11682753636363,42.41787505454546,19.4,19.4,0.26363,0.0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,391.23,15.55
108,Medford,24,3399,-71.10882753636363,42.41687505454546,19.8,19.8,0.12802,0.0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
106,Medford,24,3397,-71.10602753636363,42.41137505454546,19.5,19.5,0.1712,0.0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,395.67,18.66
105,Medford,24,3396,-71.10202753636364,42.41197505454546,19.5,19.5,0.13262,0.0,8.56,0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47
102,Medford,24,3393,-71.09512753636363,42.41537505454546,18.6,18.6,0.22876,0.0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,70.8,10.63
100,Medford,24,3391,-71.09482753636364,42.41937505454546,27.5,27.5,0.14866,0.0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42
101,Medford,24,3392,-71.09982753636363,42.42287505454546,26.5,26.5,0.11432,0.0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67
107,Medford,24,3398,-71.09582753636363,42.42937505454546,20.4,20.4,0.13117,0.0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09
91,Melrose,21,3364,-71.0709133,42.4626292,22.0,22.0,0.03932,0.0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,393.55,8.2
90,Melrose,21,3363,-71.0634133,42.4615292,22.6,22.6,0.04684,0.0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,392.18,8.81
89,Melrose,21,3362,-71.0589133,42.4550292,28.7,28.7,0.05302,0.0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,396.06,5.7
88,Melrose,21,3361,-71.0714133,42.4545292,23.6,23.6,0.0566,0.0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5
54,Middleton,9,2121,-89.5042876,43.09721740000001,18.9,18.9,0.0136,75.0,4.0,0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
285,Millis,51,4071,-71.351738,42.1669661,22.0,22.0,0.01096,55.0,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
307,Milton,58,4164,-71.06854029999998,42.24128210000001,28.2,28.2,0.04932,33.0,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53
